1	3 
2	2 
3	4 
4	3 
5	1 
6	4 
7	1 
8	1 
9	1 
10	4 
11	2 
12	1 
13	3 
14	2 
15	4 
16	2 
17	1 
18	2 
19	4 
20	2 
21	1 
22	1 
23	4 
24	4 
25	3 
26	4 
27	4 
28	4 
29	2 
30	4 
31	1 
32	1 
33	3 
34	4 
35	4 
36	1 
37	4 
38	1 
39	4 
40	4 
41	2 
42	1 
43	4 
44	1 
45	4 
46	4 
47	1 
48	4 
49	3 
50	2 
51	1 
52	1 
53	1 
54	1 
55	2 
56	3 
57	4 
58	4 
59	3 
60	1 
61	3 
62	4 
63	3 
64	4 
65	1 
66	1 
67	4 
68	1 
69	4 
70	1 
71	1 
72	4 
73	4 
74	4 
75	4 
76	4 
77	2 
78	3 
79	1 
80	3 
81	4 
82	4 
83	1 
84	2 
85	4 
86	1 
87	3 
88	3 
89	4 
90	1 
91	4 
92	1 
93	4 
94	4 
95	2 
96	2 
97	4 
98	2 
99	2 
100	1 
