1	3 
2	4 
3	5 
4	4 
5	1 
6	5 
7	4 
8	3 
9	4 
10	4 
11	4 
12	1 
13	4 
14	1 
15	2 
16	2 
17	1 
18	3 
19	2 
20	4 
21	1 
22	3 
23	3 
24	1 
25	5 
26	4 
27	4 
28	3 
29	3 
30	3 
31	2 
32	1 
33	4 
34	2 
35	1 
36	4 
37	5 
38	4 
39	2 
40	3 
41	3 
42	2 
43	4 
44	1 
45	1 
46	2 
47	4 
48	3 
49	5 
50	1 
51	2 
52	1 
53	3 
54	1 
55	1 
56	4 
57	2 
58	2 
59	4 
60	5 
61	5 
62	4 
63	5 
64	5 
65	2 
66	1 
67	4 
68	4 
69	1 
70	4 
71	2 
72	5 
73	4 
74	1 
75	2 
76	2 
77	4 
78	2 
79	1 
80	5 
81	5 
82	4 
83	2 
84	1 
85	3 
86	1 
87	2 
88	1 
89	3 
90	3 
91	4 
92	5 
93	3 
94	1 
95	2 
96	4 
97	4 
98	4 
99	4 
100	2 
