1	2 
2	2 
3	3 
4	5 
5	5 
6	4 
7	2 
8	1 
9	3 
10	5 
11	1 
12	1 
13	1 
14	1 
15	3 
16	3 
17	3 
18	3 
19	4 
20	4 
21	1 
22	1 
23	1 
24	1 
25	3 
26	1 
27	1 
28	1 
29	4 
30	3 
31	3 
32	3 
33	3 
34	1 
35	5 
36	5 
37	2 
38	2 
39	4 
40	3 
41	1 
42	1 
43	5 
44	2 
45	3 
46	4 
47	1 
48	1 
49	1 
50	1 
51	1 
52	1 
53	2 
54	2 
55	3 
56	3 
57	1 
58	2 
59	1 
60	4 
61	5 
62	2 
63	2 
64	3 
65	1 
66	2 
67	2 
68	1 
69	3 
70	1 
71	1 
72	1 
73	3 
74	1 
75	3 
76	5 
77	4 
78	1 
79	4 
80	1 
81	3 
82	3 
83	1 
84	1 
85	3 
86	1 
87	4 
88	5 
89	3 
90	1 
91	4 
92	5 
93	1 
94	2 
95	3 
96	2 
97	1 
98	1 
99	1 
100	4 
