1	4 
2	4 
3	4 
4	4 
5	4 
6	5 
7	3 
8	4 
9	1 
10	3 
11	1 
12	2 
13	2 
14	2 
15	2 
16	3 
17	4 
18	2 
19	5 
20	5 
21	2 
22	4 
23	4 
24	5 
25	5 
26	1 
27	4 
28	2 
29	4 
30	3 
31	5 
32	1 
33	4 
34	4 
35	4 
36	4 
37	1 
38	4 
39	4 
40	2 
41	4 
42	1 
43	4 
44	3 
45	4 
46	1 
47	3 
48	4 
49	4 
50	1 
51	2 
52	4 
53	5 
54	4 
55	2 
56	4 
57	5 
58	3 
59	4 
60	2 
61	1 
62	4 
63	5 
64	4 
65	4 
66	5 
67	3 
68	4 
69	4 
70	1 
71	1 
72	4 
73	1 
74	3 
75	1 
76	4 
77	4 
78	4 
79	2 
80	2 
81	5 
82	3 
83	2 
84	2 
85	4 
86	3 
87	2 
88	1 
89	5 
90	3 
91	1 
92	3 
93	4 
94	2 
95	4 
96	3 
97	4 
98	3 
99	3 
100	4 
